radio,angulo,cota,D
194.4548865,0.9303428708536718,10054.302,0.0
194.4548865,0.9303428708536718,10060.0,5.69800000000032
194.4548865,0.9303428708536718,10070.0,10.0
194.4548865,0.9303428708536718,10080.0,10.0
194.4548865,0.9303428708536718,10090.0,10.0
194.4548865,0.9303428708536718,10100.0,10.0
194.4548865,0.9303428708536718,10110.0,10.0
194.4548865,0.9303428708536718,10120.0,10.0
194.4548865,0.9303428708536718,10130.0,10.0
194.4548865,0.9303428708536718,10140.0,10.0
194.4548865,0.9303428708536718,10150.0,10.0
194.4548865,0.9303428708536718,10160.0,10.0
194.4548865,0.9303428708536718,10170.0,10.0
194.4548865,0.9303428708536718,10180.0,10.0
194.4548865,0.9303428708536718,10190.0,10.0
194.4548865,0.9303428708536718,10200.0,10.0
194.4548865,0.9303428708536718,10210.0,10.0
194.4548865,0.9303428708536718,10220.0,10.0
194.4548865,0.9303428708536718,10230.0,10.0
240.6567417,1.2445021362126512,10235.211717357935,5.211717357935413
240.6567417,1.2445021362126512,10240.0,4.788282642064587
240.6567417,1.2445021362126512,10250.0,10.0
240.6567417,1.2445021362126512,10260.0,10.0
240.6567417,1.2445021362126512,10270.0,10.0
240.6567417,1.2445021362126512,10280.0,10.0
240.6567417,1.2445021362126512,10290.0,10.0
240.6567417,1.2445021362126512,10300.0,10.0
240.6567417,1.2445021362126512,10310.0,10.0
240.6567417,1.2445021362126512,10320.0,10.0
240.6567417,1.2445021362126512,10330.0,10.0
240.6567417,1.2445021362126512,10340.0,10.0
240.6567417,1.2445021362126512,10350.0,10.0
240.6567417,1.2445021362126512,10360.0,10.0
240.6567417,1.2445021362126512,10370.0,10.0
240.6567417,1.2445021362126512,10380.0,10.0
240.6567417,1.2445021362126512,10390.0,10.0
240.6567417,1.2445021362126512,10400.0,10.0
240.6567417,1.2445021362126512,10410.0,10.0
240.6567417,1.2445021362126512,10420.0,10.0
240.6567417,1.2445021362126512,10430.0,10.0
240.6567417,1.2445021362126512,10440.0,10.0
240.6567417,1.2445021362126512,10450.0,10.0
240.6567417,1.2445021362126512,10460.0,10.0
240.6567417,1.2445021362126512,10470.0,10.0
240.6567417,1.2445021362126512,10480.0,10.0
240.6567417,1.2445021362126512,10490.0,10.0
240.6567417,1.2445021362126512,10500.0,10.0
240.6567417,1.2445021362126512,10510.0,10.0
240.6567417,1.2445021362126512,10520.0,10.0
240.6567417,1.2445021362126512,10530.0,10.0
128.4983846,0.7341533766967177,10534.709546497561,4.70954649756095
128.4983846,0.7341533766967177,10540.0,5.29045350243905
128.4983846,0.7341533766967177,10550.0,10.0
128.4983846,0.7341533766967177,10560.0,10.0
128.4983846,0.7341533766967177,10570.0,10.0
128.4983846,0.7341533766967177,10580.0,10.0
128.4983846,0.7341533766967177,10590.0,10.0
128.4983846,0.7341533766967177,10600.0,10.0
128.4983846,0.7341533766967177,10610.0,10.0
128.4983846,0.7341533766967177,10620.0,10.0
0.0,0.0,10629.047069451724,9.047069451724383
